signal,seg,h,n,ep,mean,med,hit,base_mean,base_hit,edge,p_shift,mae
comm_long|z4>=1.5,ALL,8,24,12.0,0.03406289393882058,0.03163087998251635,0.7083333333333334,0.026672622775896472,0.6102719033232629,0.007390271162924109,0.2784,-0.015748762027248467
comm_long|z4>=1.5,ALL,13,24,12.0,0.05666755927118861,0.029871137217842847,0.8333333333333334,0.045571562169968736,0.6779141104294478,0.011095997101219876,0.2668,-0.018276849982539065
comm_long|z4>=1.5,ALL,26,24,12.0,0.11346942963525647,0.15233469302557345,0.8333333333333334,0.09718082370740687,0.7635782747603834,0.0162886059278496,0.351,-0.028895488158527827
comm_long|z4>=1.5,2023+,4,17,7.0,0.03664425773585764,0.015064256879374849,0.7647058823529411,0.01849698735368388,0.6424581005586593,0.018147270382173758,0.0792,-0.005262051611204919
comm_long|z4>=1.5,2023+,8,17,7.0,0.05268905680402389,0.04522410519150166,0.8823529411764706,0.04127644240856628,0.68,0.011412614395457606,0.1392,-0.006193398769033504
comm_long|z4>=1.5,2023+,13,17,7.0,0.08570830854882916,0.06023566427414462,1.0,0.07129724925888474,0.8058823529411765,0.01441105928994442,0.189,-0.006621147805693261
comm_long|z4>=1.5,2023+,26,17,7.0,0.18115740701369973,0.19120149761742677,1.0,0.16260157757521554,0.9235668789808917,0.01855582943848419,0.2306,-0.006621147805693261
comm_long|z4>=1.5,2020-22,4,7,5.0,0.0057035476948957674,0.011520337158007932,0.5714285714285714,0.00588844866049347,0.5448717948717948,-0.00018490096559770249,0.5724,-0.013648411903085442
comm_long|z4>=1.5,2020-22,8,7,5.0,-0.011172073019530318,-0.03031759080225549,0.2857142857142857,0.010290132803350205,0.532051282051282,-0.021462205822880522,0.857,-0.03895464422577052
comm_long|z4>=1.5,2020-22,13,7,5.0,-0.013859974688795549,-0.04055274461901848,0.42857142857142855,0.0175371595730731,0.5384615384615384,-0.031397134261868645,0.8738,-0.04658355526916459
comm_long|z4>=1.5,2020-22,26,7,5.0,-0.05091565828382007,-0.058458653788502346,0.42857142857142855,0.03134070603275328,0.6025641025641025,-0.08225636431657335,0.9794,-0.08299031472969749
comm_long|z1>=2.0,ALL,4,6,6.0,0.027426477294240487,0.028122376648068936,0.6666666666666666,0.01262554843983999,0.5970149253731343,0.014800928854400498,0.1786,-0.0129177136781267
comm_long|z1>=2.0,ALL,8,6,6.0,0.03624964619256867,0.04279720516291452,0.6666666666666666,0.026672622775896472,0.6102719033232629,0.0095770234166722,0.3308,-0.01613901912538192
comm_long|z1>=2.0,ALL,13,6,6.0,0.07206185996802424,0.05498991249044349,0.8333333333333334,0.045571562169968736,0.6779141104294478,0.0264902977980555,0.126,-0.022075388898001574
comm_long|z1>=2.0,ALL,26,6,6.0,0.11084524025370178,0.16104242520550338,0.8333333333333334,0.09718082370740687,0.7635782747603834,0.01366441654629491,0.3398,-0.030835123335494652
